Home,Start Time,Result,Away,AH Line Home,AH Home Odds,AH Away Odds,Home Win Odds,Draw Odds,Away Win Odds,O/U Line,Over Odds,Under Odds,Implied_GD,lambda_total,lambda_home,lambda_away,pUnder_fair,AH_model_WF,AH_market_pHome,Goals_Home,Goals_Away,PK_Home,PK_Away,IGDev_Home,IGDev_Away,H_Actual_GD_NP,H_Actual_GD_NP – Implied_GD,GD Dev Percentage,OverPerf_Thres_H,UnderPerf_Thres_H,OverPerf,UnderPerf,Normal Range
Real Madrid,2026-04-10,HT:0-0/FT:1-1,Girona,-1.75,1.97,1.85,1.67,2.7,7,3.5,1.93,1.75,1.392100,3.556663,2.474382,1.082281,0.524457,0.410800,0.484293,1,1,0,0,-1.474382,0.0822810000000001,0,-1.3921,-100.00,2.296965,0.487235,No,Yes,No
Girona,2026-04-06,HT:1-0/FT:1-0,Villarreal,0.25,1.88,1.93,3.5,2.1,2.8,2.5,1.67,2.03,-0.216762,2.876795,1.330017,1.546779,0.451351,0.513341,0.506562,1,0,0,0,-0.330017,1.546779,1,1.216762,-561.34,-0.075867,-0.357657,Yes,No,No
Alaves,2026-04-05,HT:1-1/FT:2-2,Osasuna,0,1.75,2.1,3.1,1.92,3.6,2.5,2.2,1.58,0.145255,2.353093,1.249174,1.103919,0.582011,0.535498,0.545455,2,2,1,1,-0.249174,-1.896081,0,-0.145255,-100.00,0.239671,0.050839,No,Yes,No
Oviedo,2026-04-05,HT:1-0/FT:1-0,Sevilla,0,2.02,1.8,3.6,1.82,3.4,2.5,2.3,1.53,-0.055524,2.283112,1.113794,1.169318,0.600522,0.486244,0.471204,1,0,0,0,-0.113794,1.169318,1,1.055524,-1901.02,-0.019433,-0.091615,Yes,No,No
Valencia,2026-04-05,HT:1-0/FT:2-3,Celta de Vigo,-0.25,2,1.82,3,1.95,3.6,2.5,2.1,1.63,0.177107,2.425723,1.301415,1.124308,0.563003,0.474316,0.476440,2,3,0,0,0.698585,-1.875692,-1,-1.177107,-664.63,0.292227,0.061987,No,Yes,No
Getafe,2026-04-05,HT:1-0/FT:2-0,Athletic Bilbao,0.25,1.72,2.1,3.9,1.75,3.4,1.5,1.6,2.15,-0.133277,1.925071,0.895897,1.029174,0.426667,0.543260,0.549738,2,0,0,0,1.104103,1.029174,2,2.133277,-1600.63,-0.046647,-0.219907,Yes,No,No
Atletico Madrid,2026-04-04,HT:1-1/FT:1-2,Barcelona,0.5,1.8,1.75,3.2,2.25,2.7,3.5,2.1,1.63,-0.165040,3.378776,1.606868,1.771908,0.563003,0.578866,0.492958,1,2,0,0,-0.606868,-0.228092,-1,-0.83496,505.91,-0.057764,-0.272316,No,Yes,No
Real Betis,2026-04-04,HT:0-0/FT:0-0,Espanyol,-0.5,1.77,2.03,2.2,2.25,4.5,2.5,1.75,1.93,0.695153,2.774545,1.734849,1.039696,0.475543,0.536675,0.534211,0,0,0,0,-1.734849,1.039696,0,-0.695153,-100.00,1.147002,0.243304,No,Yes,No
Mallorca,2026-04-04,HT:1-0/FT:2-1,Real Madrid,1,1.85,1.97,5,2.3,2.05,3.5,2.3,1.53,-0.866098,3.208976,1.171439,2.037537,0.600522,0.540555,0.515707,2,1,0,0,0.828561,1.037537,1,1.866098,-215.46,-0.303134,-1.429062,Yes,No,No
Sociedad,2026-04-04,HT:1-0/FT:2-0,Levante,-1,2,1.82,2.1,2.25,5,3.5,2.3,1.53,0.842690,3.208976,2.025833,1.183143,0.600522,0.454516,0.476440,2,0,0,0,-0.025833,1.183143,2,1.15731,137.34,1.390439,0.294942,Yes,No,No
Vallecano,2026-04-03,HT:0-0/FT:1-0,Elche,-0.75,1.97,1.85,2.35,2.05,4.8,2.5,1.93,1.75,0.693774,2.576058,1.634916,0.941142,0.524457,0.474560,0.484293,1,0,0,0,-0.634916,0.941142,1,0.306226,44.14,1.144727,0.242821,No,No,Yes
Real Madrid,2026-03-22,HT:0-1/FT:3-2,Atletico Madrid,-0.5,1.8,2.02,1.8,3.7,3.4,3.5,2.35,1.5,0.617799,3.164685,1.891242,1.273443,0.61039,0.518617,0.528796,3,2,1,1,0.108758,-0.273443,1,0.382201,61.86,1.019368,0.216230,No,No,Yes
Athletic Bilbao,2026-03-22,HT:2-0/FT:2-1,Real Betis,-0.5,2,1.77,2.1,3.1,3.1,2.5,1.93,1.75,0.378326,2.576058,1.477192,1.098866,0.524457,0.458608,0.469496,2,1,0,0,0.522808,-0.098866,1,0.621674,164.32,0.624238,0.132414,No,No,Yes
Celta de Vigo,2026-03-22,HT:3-1/FT:3-4,Alaves,-0.5,1.77,2.07,1.77,3.1,4.2,2.5,2.2,1.58,0.839392,2.353093,1.596242,0.756851,0.582011,0.574108,0.539063,3,4,0,0,1.403758,3.243149,-1,-1.839392,-219.13,1.384997,0.293787,No,Yes,No
Barcelona,2026-03-22,HT:1-0/FT:1-0,Vallecano,-2,2.02,1.8,1.2,6,10,3.5,1.72,1.97,2.059624,3.836114,2.947869,0.888245,0.466125,0.493577,0.471204,1,0,0,0,-1.947869,-0.888245,1,-1.059624,-51.45,3.39838,0.720868,No,Yes,No
Sevilla,2026-03-21,HT:0-2/FT:0-2,Valencia,-0.25,1.93,1.88,2.15,2.95,3.1,2.5,2.3,1.53,0.355469,2.283112,1.31929,0.963822,0.600522,0.517784,0.493438,0,2,0,0,-1.31929,1.036178,-2,-2.355469,-662.64,0.586524,0.124414,No,Yes,No
Levante,2026-03-21,HT:2-2/FT:4-2,Oviedo,-0.25,1.91,1.91,2.1,3.1,3.05,2.5,2.03,1.67,0.362531,2.481184,1.421857,1.059327,0.548649,0.519732,0.5,4,2,0,0,2.578143,0.940673,2,1.637469,451.68,0.598176,0.126886,Yes,No,No
Osasuna,2026-03-21,HT:0-0/FT:1-0,Girona,-0.5,1.97,1.8,2.1,3.1,3.05,2.5,1.87,1.8,0.362531,2.635571,1.499051,1.13652,0.509537,0.455575,0.477454,1,0,0,0,-0.499051,-1.13652,1,0.637469,175.84,0.598176,0.126886,Yes,No,No
Espanyol,2026-03-21,HT:0-2/FT:1-2,Getafe,-0.25,2.02,1.8,2.3,2.8,3.05,1.5,1.58,2.2,0.274161,1.956206,1.115183,0.841023,0.417989,0.49505,0.471204,1,2,0,0,-0.115183,1.158977,-1,-1.274161,-464.75,0.452366,0.095956,No,Yes,No
Elche,2026-03-21,HT:0-0/FT:2-1,Mallorca,-0.25,1.85,1.97,2.05,3.1,3.2,2.5,2,1.7,0.432575,2.512774,1.472675,1.0401,0.540541,0.536623,0.515707,2,1,0,0,0.527325,-0.0401,1,0.567425,131.17,0.713749,0.151401,No,No,Yes
Villarreal,2026-03-20,HT:3-0/FT:3-1,Sociedad,-0.5,1.88,1.93,1.87,3.3,3.5,2.5,1.72,1.97,0.608897,2.813994,1.711445,1.102548,0.466125,0.516168,0.506562,3,1,0,0,1.288555,-0.102548,2,1.391103,228.46,1.00468,0.213114,Yes,No,No
Vallecano,2026-03-16,HT:0-1/FT:1-1,Levante,-0.5,1.77,2.03,1.6,3.6,4.5,2.5,1.8,1.87,1.004499,2.712927,1.858713,0.854214,0.490463,0.610754,0.534211,1,1,0,0,-0.858713,0.145786,0,-1.004499,-100,1.657423,0.351575,No,Yes,No
Sociedad,2026-03-15,HT:2-0/FT:3-1,Osasuna,-0.5,1.88,1.93,1.87,3.2,3.6,2.5,1.97,1.72,0.636263,2.538895,1.587579,0.951316,0.533875,0.52225,0.506562,3,1,1,0,0.412421,0.048684,1,0.363737,57.17,1.049834,0.222692,No,No,Yes
Real Betis,2026-03-15,HT:0-1/FT:1-1,Celta de Vigo,-0.5,2,1.77,2.15,3,3.1,2.5,1.87,1.8,0.355469,2.635571,1.49552,1.140051,0.509537,0.453861,0.469496,1,1,0,0,-0.49552,-0.140051,0,-0.355469,-100,0.586524,0.124414,No,Yes,No
